Input.Tweet1,Input.Tweet2,Input.Tweet3,Input.Tweet4,Input.Tweet5,Answer.Emotion1,Answer.Emotion2,Answer.Emotion3,Answer.Emotion4,Answer.Emotion5,Answer.Reason1,Answer.Reason2,Answer.Reason3,Answer.Reason4,Answer.Reason5
@Anonymous RT @Anonymous: Why Windows 8 Is Fundamentally Flawed as a Response to the iPad j.mp/lCVtWN,@Anonymous where exactly do they have such events ? Or is it like a one off special event,Ok that's the launch done and dusted. Phew. Lots of dosh and a great time had by all. n'est pas? @Anonymous,"@Anonymous @Anonymous Lol... Strong...? Bro I'm hitting on Bella almost every tweet I tweet her. There's no such thing as ""strong.""",OMG BELGIUM IS BRILLIANT...the hotel telly has BBC1 which means I can watch MOTD tonight. All is well with the world.,None,None,Joy,Joy,Joy,it is just sending out the link for an article,it is just asking a question to get information,Lots of dosh and a great time had by all. n'est pas?,Bro I'm hitting on Bella almost every tweet I tweet her. and OMG,OMG BELGIUM IS BRILLIANT  and all is well with the world
@Anonymous RT @Anonymous: Why Windows 8 Is Fundamentally Flawed as a Response to the iPad j.mp/lCVtWN,@Anonymous where exactly do they have such events ? Or is it like a one off special event,Ok that's the launch done and dusted. Phew. Lots of dosh and a great time had by all. n'est pas? @Anonymous,"@Anonymous @Anonymous Lol... Strong...? Bro I'm hitting on Bella almost every tweet I tweet her. There's no such thing as ""strong.""",OMG BELGIUM IS BRILLIANT...the hotel telly has BBC1 which means I can watch MOTD tonight. All is well with the world.,None,None,None,None,Surprise|Joy,Neutral statement.,Neutral question.,"(Relief) ""phew""",Neutral statement.,"""OMG BELGIUM IS BRILLIANT"""
@Anonymous RT @Anonymous: Why Windows 8 Is Fundamentally Flawed as a Response to the iPad j.mp/lCVtWN,@Anonymous where exactly do they have such events ? Or is it like a one off special event,Ok that's the launch done and dusted. Phew. Lots of dosh and a great time had by all. n'est pas? @Anonymous,"@Anonymous @Anonymous Lol... Strong...? Bro I'm hitting on Bella almost every tweet I tweet her. There's no such thing as ""strong.""",OMG BELGIUM IS BRILLIANT...the hotel telly has BBC1 which means I can watch MOTD tonight. All is well with the world.,None,None,Joy,Surprise,Joy,Just relaying information,Just asking a question,Phew. Lots of dosh and a great time had by all,"Strong?  There's no such thing as ""strong""",Belgium is brilliant
@Anonymous RT @Anonymous: Why Windows 8 Is Fundamentally Flawed as a Response to the iPad j.mp/lCVtWN,@Anonymous where exactly do they have such events ? Or is it like a one off special event,Ok that's the launch done and dusted. Phew. Lots of dosh and a great time had by all. n'est pas? @Anonymous,"@Anonymous @Anonymous Lol... Strong...? Bro I'm hitting on Bella almost every tweet I tweet her. There's no such thing as ""strong.""",OMG BELGIUM IS BRILLIANT...the hotel telly has BBC1 which means I can watch MOTD tonight. All is well with the world.,None,None,Joy,Anger,Surprise|Joy,A simple statement.,a simple inquiry.,presence of phrase 'great time had by all' indicating a joyous outcome.,tweet is indicating a retaliatory response to another tweet by responding directly in a slightly mocking fashion.,the phrase 'OMG BELGIUM IS BRILLIANT' indicates surprise and joy.
@Anonymous RT @Anonymous: Why Windows 8 Is Fundamentally Flawed as a Response to the iPad j.mp/lCVtWN,@Anonymous where exactly do they have such events ? Or is it like a one off special event,Ok that's the launch done and dusted. Phew. Lots of dosh and a great time had by all. n'est pas? @Anonymous,"@Anonymous @Anonymous Lol... Strong...? Bro I'm hitting on Bella almost every tweet I tweet her. There's no such thing as ""strong.""",OMG BELGIUM IS BRILLIANT...the hotel telly has BBC1 which means I can watch MOTD tonight. All is well with the world.,None,None,Joy,Sadness,Joy,Tech talk,Inquiry,"Event done and ""great time""","Talks of not being strong, sounds infatuated with a girl.","""BRILLIANT"" ""All is well"""
@Anonymous yay! My favorite person to smoke with is my man @Anonymous and I usually put on pandora's sunshine radio. Jus chill music :),@Anonymous now taking a swing at Oracle Exadata but...SF runs on Oracle. Parody time? #Hashtag,Thus the pressure to break rules no longer dependent on presence of any one amoral individual. Self-perpetuating.,@Anonymous follow back please? and anyway.. may i have your BB pin? tell me DM. i'm promise i won't tell anyone :D,@Anonymous What do you think about the Rodgers brothers? I'ma a big fan esp since my bro played them in high school,Love|Joy,None,None,Joy,Love,"love smoking with someone, smiley face.",The person does not express an emotion.,The person does not express an emotion.,smiley face.,fan of the rodgers brothers.
@Anonymous yay! My favorite person to smoke with is my man @Anonymous and I usually put on pandora's sunshine radio. Jus chill music :),@Anonymous now taking a swing at Oracle Exadata but...SF runs on Oracle. Parody time? #Hashtag,Thus the pressure to break rules no longer dependent on presence of any one amoral individual. Self-perpetuating.,@Anonymous follow back please? and anyway.. may i have your BB pin? tell me DM. i'm promise i won't tell anyone :D,@Anonymous What do you think about the Rodgers brothers? I'ma a big fan esp since my bro played them in high school,Joy,Anger|Surprise,Anger|Sadness,None,Joy,talking of music and chilling,Expresses something akin to disgust.,Talks of a self-failure perhaps,Inquiry,"Talks of being a fan of ""the rogers brothers"""
@Anonymous yay! My favorite person to smoke with is my man @Anonymous and I usually put on pandora's sunshine radio. Jus chill music :),@Anonymous now taking a swing at Oracle Exadata but...SF runs on Oracle. Parody time? #Hashtag,Thus the pressure to break rules no longer dependent on presence of any one amoral individual. Self-perpetuating.,@Anonymous follow back please? and anyway.. may i have your BB pin? tell me DM. i'm promise i won't tell anyone :D,@Anonymous What do you think about the Rodgers brothers? I'ma a big fan esp since my bro played them in high school,Love|Joy,None,None,Love,None,showing happiness and love towards his friend,none fit,none really fit,he's showing love towards someone in asking for the bb pin,no emotion shown
@Anonymous yay! My favorite person to smoke with is my man @Anonymous and I usually put on pandora's sunshine radio. Jus chill music :),@Anonymous now taking a swing at Oracle Exadata but...SF runs on Oracle. Parody time? #Hashtag,Thus the pressure to break rules no longer dependent on presence of any one amoral individual. Self-perpetuating.,@Anonymous follow back please? and anyway.. may i have your BB pin? tell me DM. i'm promise i won't tell anyone :D,@Anonymous What do you think about the Rodgers brothers? I'ma a big fan esp since my bro played them in high school,Love|Joy,Fear|Anger,Anger,Love,Love,This tweet is from happy fun loving person,This tweet is with little bit of fear and anger.,This tweet show anger,This tweet is with promise.,This tweet is with appreciation.
@Anonymous yay! My favorite person to smoke with is my man @Anonymous and I usually put on pandora's sunshine radio. Jus chill music :),@Anonymous now taking a swing at Oracle Exadata but...SF runs on Oracle. Parody time? #Hashtag,Thus the pressure to break rules no longer dependent on presence of any one amoral individual. Self-perpetuating.,@Anonymous follow back please? and anyway.. may i have your BB pin? tell me DM. i'm promise i won't tell anyone :D,@Anonymous What do you think about the Rodgers brothers? I'ma a big fan esp since my bro played them in high school,Joy,None,Sadness,Joy,Joy,this person is happy,this is just a question,this person seems unhappy about something,this tweet seems content,this person seems happy
